Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000013516,1994.620183,1994,8,15,8,48,1,125.39,10.95,16.0,4.2,POINT (13958350.950568574 1226437.1308461332)
ISCBUL,301416132,1995.305543,1995,4,22,12,33,14,125.1,11.08,17.0,4.6,POINT (13926068.298238523 1241180.278098916)
ISCGEM,2000001418,1995.350016,1995,5,8,18,8,9,125.81,11.38,19.4,6.4,POINT (14005105.13670175 1275228.068642983)
PIVS,3000014259,1995.418696,1995,6,2,19,46,34,125.43,10.85,4.0,4.2,POINT (13962803.730200306 1215100.6556429544)
ISCBUL,301314598,1995.601273,1995,8,8,11,9,20,125.07,11.16,17.0,4.5,POINT (13922728.713514727 1250256.2356010065)
PIVS,3000014453,1995.712211,1995,9,17,22,58,3,125.2,11.58,15.0,4.5,POINT (13937200.24731785 1297946.4781431684)
PIVS,3000014803,1996.413736,1996,5,31,20,11,8,125.47,10.95,94.0,5.5,POINT (13967256.509832036 1226437.1308461332)
ISCBUL,1237571,1997.395686,1997,5,25,10,12,40,125.28,10.93,0.0,4.4,POINT (13946105.806581313 1224169.5306958267)
PIVS,3000016377,1997.541008,1997,7,17,11,13,39,125.59,10.67,19.0,4.1,POINT (13980614.848727228 1194704.530284309)
PIVS,3000016412,1997.573808,1997,7,29,10,33,35,125.23,11.48,28.0,4.3,POINT (13940539.83204165 1286585.2602175798)
PIVS,3000016762,1997.983248,1997,12,25,21,15,13,125.23,11.22,31.0,4.9,POINT (13940539.83204165 1257064.84354623)
PIVS,3000016834,1998.073658,1998,1,27,21,14,23,125.73,11.75,3.0,5.9,POINT (13996199.577438287 1317269.89523635)
PIVS,3000016879,1998.117952,1998,2,13,1,15,18,125.6,11.21,10.0,4.4,POINT (13981728.04363516 1255929.9775434723)
PIVS,3000017234,1998.532142,1998,7,14,5,33,41,125.33,11.28,31.0,4.4,POINT (13951671.781120975 1263874.8659949654)
ISCBUL,1906437,1998.749474,1998,10,1,13,23,36,125.26,10.93,0.0,4.0,POINT (13943879.41676545 1224169.5306958267)
PIVS,3000017654,1999.019568,1999,1,8,3,24,51,125.43,11.32,25.0,5.1,POINT (13962803.730200306 1268415.6707754876)
PIVS,3000018050,1999.485859,1999,6,27,8,7,36,125.57,11.43,17.0,4.9,POINT (13978388.458911363 1280906.163476934)
ISCBUL,301484538,1999.48641,1999,6,27,12,57,21,125.95,11.58,33.0,4.3,POINT (14020689.865412807 1297946.4781431684)
ISCBUL,301495806,1999.830654,1999,10,31,4,31,32,125.54,11.05,56.75,5.0,POINT (13975048.874187564 1237777.4347687596)
ISCBUL,301562195,1999.853765,1999,11,8,14,58,48,125.62,11.51,35.0,4.3,POINT (13983954.433451025 1289993.2011239135)
PIVS,3000018640,2000.236248,2000,3,27,16,52,25,125.29,10.93,104.0,4.3,POINT (13947219.001489248 1224169.5306958267)
ISCBUL,301502105,2000.284011,2000,4,14,5,34,16,125.56,11.34,32.99,5.0,POINT (13977275.26400343 1270686.311006206)
ISCBUL,2537306,2000.904494,2000,11,27,22,46,58,125.61,11.05,15.0,5.3,POINT (13982841.238543093 1237777.4347687596)
ISCBUL,301515705,2000.951579,2000,12,15,5,30,35,125.85,11.57,42.48,5.0,POINT (14009557.91633348 1296810.1740968921)
ISCBUL,301529564,2001.113055,2001,2,11,6,21,37,125.43,11.46,56.12,4.8,POINT (13962803.730200306 1284313.500993085)
ISCBUL,301534809,2001.392069,2001,5,24,2,31,37,125.95,11.64,33.0,4.3,POINT (14020689.865412807 1304765.15713963)
PIVS,3000019719,2001.55703,2001,7,23,7,34,50,125.52,11.49,26.0,5.0,POINT (13972822.4843717 1287721.200206286)
ISCBUL,301538213,2001.563019,2001,7,25,12,2,57,125.85,11.2,0.14,4.1,POINT (14009557.91633348 1254795.1507951724)
PIVS,3000019838,2001.757358,2001,10,4,10,27,19,125.54,10.86,50.0,4.4,POINT (13975048.874187564 1216234.1319285545)
ISCBUL,3456634,2001.956024,2001,12,15,22,46,15,125.79,11.19,1.0,4.9,POINT (14002878.746885883 1253660.3632640482)
PIVS,3000020008,2002.088885,2002,2,2,10,37,47,125.69,11.58,8.0,4.5,POINT (13991746.797806554 1297946.4781431684)
ISCBUL,301575333,2002.260239,2002,4,5,23,41,37,125.43,10.81,103.91,4.2,POINT (13962803.730200306 1210567.1292920122)
ISCBUL,4283358,2002.262058,2002,4,6,15,37,52,125.33,11.58,49.0,4.9,POINT (13951671.781120975 1297946.4781431684)
ISCBUL,301681700,2003.388329,2003,5,22,17,45,37,125.45,11.24,61.92,5.7,POINT (13965030.12001617 1259334.6934642775)
PIVS,3000021083,2003.483386,2003,6,26,10,27,52,125.79,10.84,20.0,4.3,POINT (14002878.746885883 1213967.217273558)
ISCGEM,2000001766,2003.929417,2003,12,6,5,41,20,125.91,11.3,15.7,5.4,POINT (14016237.085781075 1266145.1892046686)
PIVS,3000021709,2004.315188,2004,4,25,16,10,48,125.35,10.69,116.0,5.3,POINT (13953898.170936842 1196970.1664899823)
PIVS,3000021828,2004.463518,2004,6,19,2,39,50,125.36,11.34,68.0,4.7,POINT (13955011.365844777 1270686.311006206)
PIVS,3000021986,2004.596498,2004,8,6,21,57,31,125.57,11.05,21.0,4.1,POINT (13978388.458911363 1237777.4347687596)
ISCBUL,301670431,2004.890722,2004,11,22,21,28,32,125.65,11.41,54.96,4.9,POINT (13987294.018174823 1278634.8055764982)
ISCBUL,7416002,2005.161661,2005,3,1,0,8,59,125.78,10.98,33.0,4.2,POINT (14001765.551977951 1229838.818318008)
ISCBUL,7416885,2005.311266,2005,4,24,14,41,14,125.94,11.09,48.0,4.1,POINT (14019576.670504874 1242314.6366999266)
ISCBUL,7417017,2005.339226,2005,5,4,19,37,15,125.52,11.62,22.0,4.8,POINT (13972822.4843717 1302492.101086989)
ISCBUL,7419195,2005.68685,2005,9,8,16,48,21,125.89,11.46,12.0,4.7,POINT (14014010.69596521 1284313.500993085)
ISCBUL,7420073,2005.828469,2005,10,30,9,23,27,125.36,11.64,11.0,4.5,POINT (13955011.365844777 1304765.15713963)
PIVS,3000023127,2005.889534,2005,11,21,16,19,3,125.33,11.18,94.0,5.3,POINT (13951671.781120975 1252525.6149128242)
ISCBUL,8179667,2006.108403,2006,2,9,13,36,52,125.41,11.6,7.0,4.3,POINT (13960577.340384439 1300219.208188277)
ISCBUL,8181729,2006.439556,2006,6,10,10,30,41,125.99,11.36,26.0,5.1,POINT (14025142.645044537 1272957.1101957087)
ISCBUL,8182113,2006.49007,2006,6,28,21,0,52,125.63,10.96,1.0,4.3,POINT (13985067.628358958 1227570.988333442)
ISCBUL,8183170,2006.678732,2006,9,5,17,41,29,125.17,11.38,121.0,4.6,POINT (13933860.662594052 1275228.068642983)
ISCBUL,8183291,2006.698086,2006,9,12,19,13,58,125.62,11.52,19.0,4.9,POINT (13983954.433451025 1291129.2621277738)
ISCBUL,8183946,2006.806767,2006,10,22,11,16,30,125.2,10.97,61.0,5.0,POINT (13937200.24731785 1228704.8841450224)
ISCBUL,8184201,2006.848172,2006,11,6,13,59,13,125.58,10.85,28.0,4.8,POINT (13979501.653819295 1215100.6556429544)
ISCBUL,10363167,2007.097573,2007,2,5,14,44,19,125.67,11.24,33.0,5.0,POINT (13989520.407990688 1259334.6934642775)
ISCBUL,10366202,2007.567061,2007,7,26,23,27,22,125.38,11.4,14.0,5.1,POINT (13957237.755660638 1277499.1866471162)
PIVS,3000024791,2007.614564,2007,8,13,7,34,48,125.85,11.26,1.0,4.1,POINT (14009557.91633348 1261604.7008476956)
PIVS,3000024870,2007.668049,2007,9,1,20,6,35,125.4,10.86,114.0,5.0,POINT (13959464.145476507 1216234.1319285545)
ISCBUL,301818293,2008.031358,2008,1,12,12,11,54,125.97,11.32,27.64,4.5,POINT (14022916.255228672 1268415.6707754876)
ISCBUL,301836805,2008.744426,2008,9,30,4,54,4,125.63,10.92,72.64,4.1,POINT (13985067.628358958 1223035.7879585926)
ISCBUL,301837525,2008.765435,2008,10,7,21,56,50,125.5,11.37,51.89,5.6,POINT (13970596.094555834 1274092.569493434)
ISCBUL,301942058,2009.43232,2009,6,7,19,7,34,125.99,11.24,10.0,4.4,POINT (14025142.645044537 1259334.6934642775)
ISCBUL,301880240,2009.705412,2009,9,15,11,24,43,125.7,11.77,36.0,4.4,POINT (13992859.992714487 1319544.0191171875)
PIVS,3000028090,2010.184248,2010,3,9,6,0,42,125.52,11.32,70.0,5.5,POINT (13972822.4843717 1268415.6707754876)
PIVS,3000028804,2010.676169,2010,9,4,19,14,35,125.84,11.68,1.0,5.0,POINT (14008444.721425546 1309311.759908521)
