Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
ISCBUL,301272629,1991.896083,1991,11,24,1,41,27,124.37,11.4,90.5,4.9,POINT (13844805.069959434 1277499.1866471162)
PIVS,3000012438,1992.171484,1992,3,3,22,25,45,124.24,12.29,25.0,4.1,POINT (13830333.53615631 1378730.1817769124)
PIVS,3000012849,1993.048851,1993,1,18,19,56,1,124.41,11.74,130.0,5.4,POINT (13849257.849591164 1316132.8952304705)
PIVS,3000013082,1993.684821,1993,9,7,23,1,58,124.29,12.2,22.0,4.9,POINT (13835899.510695972 1368478.189751179)
PIVS,3000013572,1994.727833,1994,9,23,15,49,14,124.36,11.54,12.0,5.0,POINT (13843691.8750515 1293401.5054129816)
ISCBUL,183787,1995.302897,1995,4,21,13,22,35,124.29,11.71,0.0,4.7,POINT (13835899.510695972 1312722.1424994597)
PIVS,3000014423,1995.656598,1995,8,28,15,47,43,124.1,12.27,31.0,4.5,POINT (13814748.807445249 1376451.6590677854)
PIVS,3000014576,1996.008643,1996,1,4,4,7,25,124.62,11.59,41.0,4.8,POINT (13872634.942657754 1299082.8228277883)
ISCBUL,301333168,1996.350329,1996,5,8,13,41,44,124.0,11.62,35.0,4.4,POINT (13803616.858365921 1302492.101086989)
ISCBUL,301525221,1996.473667,1996,6,22,20,3,23,124.07,11.99,10.0,4.5,POINT (13811409.22272145 1344570.3651684555)
ISCBUL,301391729,1997.627479,1997,8,18,0,42,51,123.83,11.84,13.0,4.3,POINT (13784692.544931067 1327504.7572786147)
PIVS,3000016513,1997.678342,1997,9,5,14,16,18,124.06,11.53,21.0,5.2,POINT (13810296.027813518 1292265.3635449682)
ISCBUL,1265194,1997.745691,1997,9,30,4,15,15,124.72,11.64,0.0,4.1,POINT (13883766.89173708 1304765.15713963)
PIVS,3000017245,1998.538914,1998,7,16,16,53,6,124.2,11.91,22.0,4.3,POINT (13825880.756524578 1335467.5346307282)
PIVS,3000018148,1999.619258,1999,8,15,0,41,44,124.32,11.91,2.0,5.8,POINT (13839239.09541977 1335467.5346307282)
PIVS,3000018280,1999.804138,1999,10,21,12,14,50,123.94,12.21,7.0,4.1,POINT (13796937.688918326 1369617.1275605834)
PIVS,3000018409,1999.953563,1999,12,15,1,12,30,124.43,11.29,4.0,5.5,POINT (13851484.239407033 1265010.0078233476)
PIVS,3000018638,2000.23492,2000,3,27,5,10,46,124.72,11.66,7.0,4.4,POINT (13883766.89173708 1307038.376646629)
ISCBUL,2536988,2000.758262,2000,10,5,6,46,21,123.95,12.11,5.0,4.8,POINT (13798050.88382626 1358229.6788994707)
PIVS,3000019320,2001.021201,2001,1,8,17,43,25,124.35,11.45,1.0,4.9,POINT (13842578.680143569 1283177.681682396)
ISCBUL,3454323,2001.205838,2001,3,17,3,8,12,124.14,11.99,27.0,4.8,POINT (13819201.587076982 1344570.3651684555)
ISCBUL,3454917,2001.403329,2001,5,28,5,9,52,124.12,11.28,16.0,4.6,POINT (13816975.197261117 1263874.8659949654)
PIVS,3000019972,2001.998937,2001,12,31,14,41,3,124.33,11.49,1.0,5.3,POINT (13840352.290327704 1287721.200206286)
ISCBUL,4285300,2003.153803,2003,2,26,3,18,56,124.55,11.34,5.0,4.9,POINT (13864842.578302221 1270686.311006206)
ISCGEM,2000001774,2003.389316,2003,5,23,2,24,45,124.16,11.86,17.5,5.6,POINT (13821427.976892846 1329779.6278759574)
ISCBUL,301656344,2004.237631,2004,3,28,5,3,16,124.39,11.27,9.13,5.6,POINT (13847031.459775299 1262739.7636821903)
ISCBUL,5540677,2004.455471,2004,6,16,3,47,5,124.21,11.75,20.0,4.7,POINT (13826993.951432507 1317269.89523635)
ISCBUL,6332573,2004.871437,2004,11,15,19,36,50,124.5,11.96,17.0,4.9,POINT (13859276.603762558 1341156.4883888415)
ISCBUL,6333042,2004.992471,2004,12,30,5,40,49,123.88,12.16,11.0,5.1,POINT (13790258.51947073 1363922.8679083725)
ISCBUL,7415696,2005.119633,2005,2,13,15,59,5,124.52,11.48,21.0,4.6,POINT (13861502.993578423 1286585.2602175798)
ISCBUL,7416455,2005.230676,2005,3,26,4,43,21,124.23,11.77,23.0,4.7,POINT (13829220.341248376 1319544.0191171875)
ISCBUL,7418722,2005.607027,2005,8,10,13,33,22,123.88,12.14,6.0,4.7,POINT (13790258.51947073 1361645.4640929557)
ISCBUL,7419319,2005.703543,2005,9,14,19,2,1,124.21,11.81,20.0,4.3,POINT (13826993.951432507 1324092.7634092178)
PIVS,3000023178,2005.944921,2005,12,11,21,30,20,123.9,12.16,2.0,4.7,POINT (13792484.909286596 1363922.8679083725)
ISCBUL,7421202,2005.999888,2005,12,31,23,1,17,124.2,11.81,10.0,4.7,POINT (13825880.756524578 1324092.7634092178)
