Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
ISCBUL,300879675,1975.638085,1975,8,21,21,37,31,125.09,11.64,100.0,5.1,POINT (13924955.103330592 1304765.15713963)
ISCBUL,300877128,1977.643296,1977,8,23,19,16,36,125.21,11.19,17.0,5.6,POINT (13938313.442225784 1253660.3632640482)
ISCBUL,300888001,1978.364922,1978,5,14,4,43,11,125.66,11.24,50.74,5.4,POINT (13988407.213082757 1259334.6934642775)
PIVS,3000003911,1979.906306,1979,11,27,19,14,15,125.54,10.82,65.0,3.6,POINT (13975048.874187564 1211700.4541351388)
PIVS,3000004101,1980.056138,1980,1,21,14,27,52,125.15,10.95,50.0,3.7,POINT (13931634.272778187 1226437.1308461332)
PIVS,3000004229,1980.210583,1980,3,18,6,49,8,125.45,11.05,250.0,3.6,POINT (13965030.12001617 1237777.4347687596)
ISCBUL,301039016,1981.506717,1981,7,4,22,50,25,125.29,11.11,113.29,5.2,POINT (13947219.001489248 1244583.4703616202)
PIVS,3000005956,1982.345359,1982,5,7,1,20,42,125.06,11.43,33.0,3.0,POINT (13921615.518606793 1280906.163476934)
PIVS,3000005958,1982.347847,1982,5,7,23,8,10,125.5,11.16,33.0,3.5,POINT (13970596.094555834 1250256.2356010065)
PIVS,3000006204,1982.617336,1982,8,14,7,51,43,124.98,11.47,36.0,3.2,POINT (13912709.959343333 1285449.3604923305)
ISCBUL,301062482,1982.93418,1982,12,7,23,25,4,124.79,11.04,17.0,5.1,POINT (13891559.256092608 1236643.231025683)
PIVS,3000007279,1983.499749,1983,7,2,9,47,52,125.72,11.33,60.0,3.3,POINT (13995086.382530352 1269550.9710396812)
PIVS,3000007427,1983.579336,1983,7,31,10,58,53,125.0,11.54,33.0,3.1,POINT (13914936.349159198 1293401.5054129816)
ISCBUL,301157537,1984.001798,1984,1,1,15,50,21,124.89,11.02,49.1,5.4,POINT (13902691.205171935 1234374.9393668887)
PIVS,3000008120,1984.181861,1984,3,7,17,49,51,125.7,11.11,33.0,3.3,POINT (13992859.992714487 1244583.4703616202)
PIVS,3000008201,1984.284589,1984,4,14,10,39,46,125.67,11.24,37.0,3.1,POINT (13989520.407990688 1259334.6934642775)
PIVS,3000008444,1984.593192,1984,8,5,16,50,17,125.41,11.13,94.0,3.4,POINT (13960577.340384439 1246852.4595509986)
PIVS,3000008570,1984.754622,1984,10,3,22,42,39,125.54,11.26,33.0,3.6,POINT (13975048.874187564 1261604.7008476956)
PIVS,3000009292,1986.373901,1986,5,17,11,22,28,125.3,11.7,33.0,4.3,POINT (13948332.196397178 1311585.307225945)
PIVS,3000009737,1987.497165,1987,7,1,11,9,56,125.4,10.8,65.0,3.2,POINT (13959464.145476507 1209433.8422168817)
ISCBUL,301251503,1987.944859,1987,12,11,20,57,48,124.96,11.27,10.0,5.0,POINT (13910483.569527464 1262739.7636821903)
ISCBUL,301190502,1987.945144,1987,12,11,23,27,33,125.47,11.3,56.52,5.8,POINT (13967256.509832036 1266145.1892046686)
ISCBUL,301197754,1988.970896,1988,12,22,7,39,4,125.54,10.84,89.53,5.5,POINT (13975048.874187564 1213967.217273558)
ISCBUL,300729983,1990.182749,1990,3,8,16,53,1,125.43,10.83,88.0,4.9,POINT (13962803.730200306 1212833.8167833046)
PIVS,3000011249,1990.754115,1990,10,3,6,2,57,125.38,11.57,33.0,5.3,POINT (13957237.755660638 1296810.1740968921)
PIVS,3000011951,1991.503354,1991,7,3,17,22,44,125.41,11.11,18.0,5.0,POINT (13960577.340384439 1244583.4703616202)
PIVS,3000012121,1991.704235,1991,9,15,1,5,49,124.85,10.91,20.0,5.6,POINT (13898238.425540205 1221902.083397157)
PIVS,3000012295,1991.929384,1991,12,6,5,24,15,125.34,11.29,24.0,4.7,POINT (13952784.97602891 1265010.0078233476)
PIVS,3000012304,1991.946872,1991,12,12,14,35,54,125.47,10.89,7.0,4.6,POINT (13967256.509832036 1219634.7886532734)
PIVS,3000012714,1992.750865,1992,10,2,13,37,5,125.62,11.24,23.0,5.2,POINT (13983954.433451025 1259334.6934642775)
ISCBUL,301354968,1993.118121,1993,2,13,2,44,20,125.26,11.4,35.0,5.1,POINT (13943879.41676545 1277499.1866471162)
PIVS,3000012963,1993.372847,1993,5,17,2,8,35,124.91,11.07,20.0,5.8,POINT (13904917.5949878 1240045.958268184)
PIVS,3000013423,1994.443234,1994,6,11,18,43,43,125.36,11.02,2.0,4.1,POINT (13955011.365844777 1234374.9393668887)
PIVS,3000013516,1994.620183,1994,8,15,8,48,1,125.39,10.95,16.0,4.2,POINT (13958350.950568574 1226437.1308461332)
PIVS,3000013550,1994.680335,1994,9,6,7,43,59,125.12,11.59,19.0,4.2,POINT (13928294.688054388 1299082.8228277883)
PIVS,3000013762,1995.002003,1995,1,1,17,32,47,125.02,11.19,26.0,4.4,POINT (13917162.738975063 1253660.3632640482)
ISCBUL,301415986,1995.301415,1995,4,21,0,23,49,125.02,11.55,35.0,5.0,POINT (13917162.738975063 1294537.6877693073)
ISCBUL,301416132,1995.305543,1995,4,22,12,33,14,125.1,11.08,17.0,4.6,POINT (13926068.298238523 1241180.278098916)
PIVS,3000014259,1995.418696,1995,6,2,19,46,34,125.43,10.85,4.0,4.2,POINT (13962803.730200306 1215100.6556429544)
ISCBUL,301314598,1995.601273,1995,8,8,11,9,20,125.07,11.16,17.0,4.5,POINT (13922728.713514727 1250256.2356010065)
PIVS,3000014453,1995.712211,1995,9,17,22,58,3,125.2,11.58,15.0,4.5,POINT (13937200.24731785 1297946.4781431684)
PIVS,3000014803,1996.413736,1996,5,31,20,11,8,125.47,10.95,94.0,5.5,POINT (13967256.509832036 1226437.1308461332)
ISCBUL,1237571,1997.395686,1997,5,25,10,12,40,125.28,10.93,0.0,4.4,POINT (13946105.806581313 1224169.5306958267)
PIVS,3000016412,1997.573808,1997,7,29,10,33,35,125.23,11.48,28.0,4.3,POINT (13940539.83204165 1286585.2602175798)
PIVS,3000016762,1997.983248,1997,12,25,21,15,13,125.23,11.22,31.0,4.9,POINT (13940539.83204165 1257064.84354623)
ISCBUL,301443310,1998.067469,1998,1,25,15,1,47,125.22,11.61,40.0,4.7,POINT (13939426.637133716 1301355.6342621646)
PIVS,3000016879,1998.117952,1998,2,13,1,15,18,125.6,11.21,10.0,4.4,POINT (13981728.04363516 1255929.9775434723)
ISCBUL,301525762,1998.301606,1998,4,21,2,3,53,124.91,10.98,100.0,4.6,POINT (13904917.5949878 1229838.818318008)
PIVS,3000017234,1998.532142,1998,7,14,5,33,41,125.33,11.28,31.0,4.4,POINT (13951671.781120975 1263874.8659949654)
PIVS,3000017311,1998.608454,1998,8,11,2,3,12,124.88,10.9,9.0,4.3,POINT (13901578.010264002 1220768.4169744162)
ISCBUL,1906437,1998.749474,1998,10,1,13,23,36,125.26,10.93,0.0,4.0,POINT (13943879.41676545 1224169.5306958267)
ISCBUL,301476831,1999.012409,1999,1,5,12,42,9,125.02,11.33,125.17,4.3,POINT (13917162.738975063 1269550.9710396812)
PIVS,3000017654,1999.019568,1999,1,8,3,24,51,125.43,11.32,25.0,5.1,POINT (13962803.730200306 1268415.6707754876)
PIVS,3000018050,1999.485859,1999,6,27,8,7,36,125.57,11.43,17.0,4.9,POINT (13978388.458911363 1280906.163476934)
ISCBUL,301495806,1999.830654,1999,10,31,4,31,32,125.54,11.05,56.75,5.0,POINT (13975048.874187564 1237777.4347687596)
ISCBUL,301562195,1999.853765,1999,11,8,14,58,48,125.62,11.51,35.0,4.3,POINT (13983954.433451025 1289993.2011239135)
PIVS,3000018640,2000.236248,2000,3,27,16,52,25,125.29,10.93,104.0,4.3,POINT (13947219.001489248 1224169.5306958267)
ISCBUL,301502105,2000.284011,2000,4,14,5,34,16,125.56,11.34,32.99,5.0,POINT (13977275.26400343 1270686.311006206)
PIVS,3000018689,2000.313417,2000,4,25,0,34,47,125.03,11.46,7.0,4.3,POINT (13918275.933882995 1284313.500993085)
ISCBUL,2537306,2000.904494,2000,11,27,22,46,58,125.61,11.05,15.0,5.3,POINT (13982841.238543093 1237777.4347687596)
ISCBUL,301529564,2001.113055,2001,2,11,6,21,37,125.43,11.46,56.12,4.8,POINT (13962803.730200306 1284313.500993085)
PIVS,3000019719,2001.55703,2001,7,23,7,34,50,125.52,11.49,26.0,5.0,POINT (13972822.4843717 1287721.200206286)
PIVS,3000019838,2001.757358,2001,10,4,10,27,19,125.54,10.86,50.0,4.4,POINT (13975048.874187564 1216234.1319285545)
ISCBUL,3456655,2001.972457,2001,12,21,22,43,37,124.93,11.01,44.0,4.4,POINT (13907143.98480367 1233240.8513768238)
ISCBUL,301575333,2002.260239,2002,4,5,23,41,37,125.43,10.81,103.91,4.2,POINT (13962803.730200306 1210567.1292920122)
ISCBUL,4283358,2002.262058,2002,4,6,15,37,52,125.33,11.58,49.0,4.9,POINT (13951671.781120975 1297946.4781431684)
ISCBUL,301681700,2003.388329,2003,5,22,17,45,37,125.45,11.24,61.92,5.7,POINT (13965030.12001617 1259334.6934642775)
PIVS,3000021828,2004.463518,2004,6,19,2,39,50,125.36,11.34,68.0,4.7,POINT (13955011.365844777 1270686.311006206)
PIVS,3000021986,2004.596498,2004,8,6,21,57,31,125.57,11.05,21.0,4.1,POINT (13978388.458911363 1237777.4347687596)
ISCBUL,301670431,2004.890722,2004,11,22,21,28,32,125.65,11.41,54.96,4.9,POINT (13987294.018174823 1278634.8055764982)
ISCBUL,7415216,2005.048355,2005,1,18,15,35,28,125.01,11.07,1.0,4.3,POINT (13916049.54406713 1240045.958268184)
ISCBUL,6889741,2005.26111,2005,4,6,7,19,19,124.98,11.32,0.0,4.2,POINT (13912709.959343333 1268415.6707754876)
ISCBUL,7417017,2005.339226,2005,5,4,19,37,15,125.52,11.62,22.0,4.8,POINT (13972822.4843717 1302492.101086989)
ISCBUL,7420073,2005.828469,2005,10,30,9,23,27,125.36,11.64,11.0,4.5,POINT (13955011.365844777 1304765.15713963)
PIVS,3000023127,2005.889534,2005,11,21,16,19,3,125.33,11.18,94.0,5.3,POINT (13951671.781120975 1252525.6149128242)
ISCBUL,7420767,2005.920145,2005,12,2,20,28,3,125.15,10.82,2.0,4.4,POINT (13931634.272778187 1211700.4541351388)
ISCBUL,8179667,2006.108403,2006,2,9,13,36,52,125.41,11.6,7.0,4.3,POINT (13960577.340384439 1300219.208188277)
ISCBUL,8181054,2006.311881,2006,4,24,20,4,40,125.06,11.54,1.0,4.0,POINT (13921615.518606793 1293401.5054129816)
ISCBUL,8182113,2006.49007,2006,6,28,21,0,52,125.63,10.96,1.0,4.3,POINT (13985067.628358958 1227570.988333442)
ISCBUL,8183170,2006.678732,2006,9,5,17,41,29,125.17,11.38,121.0,4.6,POINT (13933860.662594052 1275228.068642983)
ISCBUL,8183291,2006.698086,2006,9,12,19,13,58,125.62,11.52,19.0,4.9,POINT (13983954.433451025 1291129.2621277738)
ISCBUL,8183946,2006.806767,2006,10,22,11,16,30,125.2,10.97,61.0,5.0,POINT (13937200.24731785 1228704.8841450224)
ISCBUL,8184201,2006.848172,2006,11,6,13,59,13,125.58,10.85,28.0,4.8,POINT (13979501.653819295 1215100.6556429544)
ISCBUL,10363167,2007.097573,2007,2,5,14,44,19,125.67,11.24,33.0,5.0,POINT (13989520.407990688 1259334.6934642775)
ISCBUL,10366202,2007.567061,2007,7,26,23,27,22,125.38,11.4,14.0,5.1,POINT (13957237.755660638 1277499.1866471162)
PIVS,3000024870,2007.668049,2007,9,1,20,6,35,125.4,10.86,114.0,5.0,POINT (13959464.145476507 1216234.1319285545)
ISCBUL,12158504,2008.370046,2008,5,15,19,22,8,125.07,11.46,26.0,4.9,POINT (13922728.713514727 1284313.500993085)
ISCBUL,301836805,2008.744426,2008,9,30,4,54,4,125.63,10.92,72.64,4.1,POINT (13985067.628358958 1223035.7879585926)
ISCBUL,301837525,2008.765435,2008,10,7,21,56,50,125.5,11.37,51.89,5.6,POINT (13970596.094555834 1274092.569493434)
PIVS,3000026517,2008.913411,2008,12,1,5,19,26,125.05,11.6,80.0,4.8,POINT (13920502.323698862 1300219.208188277)
ISCBUL,13542426,2009.321851,2009,4,28,11,24,51,125.07,11.3,35.0,4.5,POINT (13922728.713514727 1266145.1892046686)
ISCBUL,17240251,2010.142214,2010,2,21,21,47,45,124.88,11.09,39.0,4.9,POINT (13901578.010264002 1242314.6366999266)
PIVS,3000028090,2010.184248,2010,3,9,6,0,42,125.52,11.32,70.0,5.5,POINT (13972822.4843717 1268415.6707754876)
ISCBUL,301915807,2010.504534,2010,7,4,3,42,49,124.99,11.11,30.85,4.8,POINT (13913823.154251263 1244583.4703616202)
PIVS,3000028611,2010.550439,2010,7,20,21,50,34,125.25,11.69,23.0,5.4,POINT (13942766.221857514 1310448.5130414972)
ISCBUL,601884143,2011.135884,2011,2,19,14,20,30,124.97,11.39,8.0,4.9,POINT (13911596.7644354 1276363.6076817452)
PIVS,3000029587,2011.273241,2011,4,10,17,35,23,125.05,10.95,31.0,4.7,POINT (13920502.323698862 1226437.1308461332)
ISCBUL,603900116,2011.554186,2011,7,22,6,39,57,125.12,11.27,184.96,4.3,POINT (13928294.688054388 1262739.7636821903)
PIVS,3000030074,2011.61434,2011,8,13,5,37,15,125.41,11.62,30.0,5.1,POINT (13960577.340384439 1302492.101086989)
ISCBUL,601887905,2011.764441,2011,10,7,0,30,14,125.4,11.2,10.0,4.3,POINT (13959464.145476507 1254795.1507951724)
ISCBUL,604899029,2012.176245,2012,3,5,16,21,56,125.23,10.92,107.0,4.6,POINT (13940539.83204165 1223035.7879585926)
