Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
ISCBUL,4284330,2002.700251,2002,9,13,14,11,54,124.17,11.16,15.0,4.9,POINT (13822541.171800781 1250256.2356010065)
PIVS,3000020975,2003.327967,2003,4,30,16,59,36,124.04,10.87,4.0,4.3,POINT (13808069.637997655 1217367.6461674245)
ISCBUL,7416275,2005.19743,2005,3,14,1,28,58,124.2,11.17,32.0,4.3,POINT (13825880.756524578 1251390.9057042312)
ISCBUL,7416873,2005.309104,2005,4,23,19,45,6,123.88,10.97,1.0,4.3,POINT (13790258.51947073 1228704.8841450224)
ISCBUL,7419407,2005.717085,2005,9,19,17,39,45,124.38,10.92,32.0,4.4,POINT (13845918.264867367 1223035.7879585926)
ISCBUL,7420947,2005.950192,2005,12,13,19,41,6,123.86,11.28,1.0,4.4,POINT (13788032.129654866 1263874.8659949654)
ISCBUL,8179566,2006.093132,2006,2,3,23,50,0,124.33,10.98,25.0,4.6,POINT (13840352.290327704 1229838.818318008)
ISCBUL,10363761,2007.194357,2007,3,12,22,33,46,124.35,10.75,1.0,4.4,POINT (13842578.680143569 1203767.9720651004)
ISCBUL,9675206,2007.429255,2007,6,6,16,16,9,123.66,11.3,0.0,4.1,POINT (13765768.23149621 1266145.1892046686)
ISCBUL,10366583,2007.636696,2007,8,21,9,27,10,124.08,11.03,5.0,4.9,POINT (13812522.417629384 1235509.0659041181)
ISCBUL,10368240,2007.931825,2007,12,7,2,47,6,123.74,11.32,43.0,5.0,POINT (13774673.79075967 1268415.6707754876)
ISCBUL,12159926,2008.624513,2008,8,17,4,42,30,124.09,10.59,1.0,4.7,POINT (13813635.612537319 1185643.4725071313)
ISCBUL,301941340,2009.565394,2009,7,26,8,51,17,124.07,11.1,10.0,4.9,POINT (13811409.22272145 1243449.0341084236)
PIVS,3000027562,2009.849353,2009,11,7,0,19,56,123.88,10.72,12.0,4.8,POINT (13790258.51947073 1200368.9008205587)
ISCBUL,16733879,2010.010708,2010,1,4,21,47,54,124.19,11.02,0.0,4.1,POINT (13824767.561616646 1234374.9393668887)
ISCBUL,16908625,2010.798877,2010,10,19,14,9,31,123.92,11.19,0.0,4.0,POINT (13794711.299102461 1253660.3632640482)
ISCBUL,17244583,2010.942923,2010,12,11,4,0,14,123.83,10.78,1.0,4.3,POINT (13784692.544931067 1207167.3812224693)
ISCBUL,601885064,2011.267481,2011,4,8,15,8,4,124.43,10.94,1.0,4.9,POINT (13851484.239407033 1225303.3116459686)
ISCBUL,604895708,2012.033123,2012,1,13,3,45,1,123.69,11.17,8.0,4.8,POINT (13769107.816220006 1251390.9057042312)
ISCBUL,605417358,2012.466377,2012,6,20,3,51,0,124.04,11.06,6.0,4.9,POINT (13808069.637997655 1238911.6771705302)
ISCBUL,607733915,2013.620891,2013,8,15,15,0,21,123.92,10.9,1.0,4.4,POINT (13794711.299102461 1220768.4169744162)
ISCBUL,607734086,2013.639095,2013,8,22,6,28,32,124.38,10.8,153.0,4.7,POINT (13845918.264867367 1209433.8422168817)
ISCBUL,610328706,2014.027501,2014,1,11,0,54,33,124.22,11.24,1.0,4.5,POINT (13828107.146340443 1259334.6934642775)
ISCBUL,610330404,2014.177173,2014,3,6,16,2,1,123.82,10.59,15.0,4.2,POINT (13783579.350023134 1185643.4725071313)
ISCBUL,610330449,2014.182711,2014,3,8,16,32,51,124.24,10.68,9.0,4.4,POINT (13830333.53615631 1195837.329743653)
ISCBUL,610330602,2014.199704,2014,3,14,21,24,14,123.75,11.12,89.0,4.6,POINT (13775786.985667605 1245717.9454967368)
ISCBUL,614239392,2015.837568,2015,11,2,17,5,36,124.16,10.73,12.48,4.7,POINT (13821427.976892846 1201501.8870845377)
ISCBUL,616646115,2016.882978,2016,11,20,1,16,21,123.83,10.63,3.0,4.3,POINT (13784692.544931067 1190173.704577682)
PIVS,3000040479,2017.510523,2017,7,6,8,10,44,123.87,10.66,15.0,4.1,POINT (13789145.324562797 1193571.76807499)
ISCBUL,619443408,2017.650371,2017,8,26,9,15,7,123.83,11.07,33.0,4.5,POINT (13784692.544931067 1240045.958268184)
ISCBUL,620446911,2018.043021,2018,1,16,16,51,55,124.08,11.37,35.0,4.6,POINT (13812522.417629384 1274092.569493434)
ISCBUL,618991355,2018.09781,2018,2,5,16,49,9,124.07,10.62,0.0,4.0,POINT (13811409.22272145 1189041.0909989905)
ISCBUL,619092707,2018.980542,2018,12,24,21,32,54,123.76,10.96,0.0,4.1,POINT (13776900.180575538 1227570.988333442)
ISCBUL,619123453,2019.266828,2019,4,8,9,24,38,123.92,11.23,0.0,4.2,POINT (13794711.299102461 1258199.7488407337)
ISCBUL,622678452,2019.59148,2019,8,4,21,21,55,123.86,11.18,11.0,4.4,POINT (13788032.129654866 1252525.6149128242)
ISCBUL,624348909,2020.447047,2020,6,13,1,35,22,123.93,10.86,3.57,4.1,POINT (13795824.494010393 1216234.1319285545)
