Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000014453,1995.712211,1995,9,17,22,58,3,125.2,11.58,15.0,4.5,POINT (13937200.24731785 1297946.4781431684)
PIVS,3000014550,1995.943094,1995,12,11,5,30,0,125.01,11.75,4.0,4.3,POINT (13916049.54406713 1317269.89523635)
PIVS,3000015398,1996.790444,1996,10,17,2,13,52,125.05,11.72,9.0,5.1,POINT (13920502.323698862 1313859.018899645)
PIVS,3000016412,1997.573808,1997,7,29,10,33,35,125.23,11.48,28.0,4.3,POINT (13940539.83204165 1286585.2602175798)
PIVS,3000016762,1997.983248,1997,12,25,21,15,13,125.23,11.22,31.0,4.9,POINT (13940539.83204165 1257064.84354623)
ISCBUL,301443310,1998.067469,1998,1,25,15,1,47,125.22,11.61,40.0,4.7,POINT (13939426.637133716 1301355.6342621646)
PIVS,3000016834,1998.073658,1998,1,27,21,14,23,125.73,11.75,3.0,5.9,POINT (13996199.577438287 1317269.89523635)
PIVS,3000017234,1998.532142,1998,7,14,5,33,41,125.33,11.28,31.0,4.4,POINT (13951671.781120975 1263874.8659949654)
ISCBUL,301452431,1998.658384,1998,8,29,7,26,47,125.22,12.04,66.0,4.6,POINT (13939426.637133716 1350261.003950255)
ISCBUL,301476831,1999.012409,1999,1,5,12,42,9,125.02,11.33,125.17,4.3,POINT (13917162.738975063 1269550.9710396812)
PIVS,3000017654,1999.019568,1999,1,8,3,24,51,125.43,11.32,25.0,5.1,POINT (13962803.730200306 1268415.6707754876)
PIVS,3000017657,1999.028076,1999,1,11,5,56,43,125.13,11.73,40.0,4.1,POINT (13929407.882962322 1314995.9364641097)
ISCBUL,301481987,1999.319829,1999,4,27,17,41,56,125.4,11.88,36.0,4.7,POINT (13959464.145476507 1332054.6652393385)
PIVS,3000018050,1999.485859,1999,6,27,8,7,36,125.57,11.43,17.0,4.9,POINT (13978388.458911363 1280906.163476934)
ISCBUL,301562195,1999.853765,1999,11,8,14,58,48,125.62,11.51,35.0,4.3,POINT (13983954.433451025 1289993.2011239135)
ISCBUL,301502105,2000.284011,2000,4,14,5,34,16,125.56,11.34,32.99,5.0,POINT (13977275.26400343 1270686.311006206)
PIVS,3000018689,2000.313417,2000,4,25,0,34,47,125.03,11.46,7.0,4.3,POINT (13918275.933882995 1284313.500993085)
ISCBUL,301502858,2000.324233,2000,4,28,23,50,31,125.46,11.91,36.0,4.7,POINT (13966143.314924102 1335467.5346307282)
ISCBUL,301529564,2001.113055,2001,2,11,6,21,37,125.43,11.46,56.12,4.8,POINT (13962803.730200306 1284313.500993085)
PIVS,3000019480,2001.139448,2001,2,20,21,34,0,124.91,11.59,22.0,5.2,POINT (13904917.5949878 1299082.8228277883)
ISCBUL,3264367,2001.170464,2001,3,4,5,15,41,125.02,11.96,0.0,4.0,POINT (13917162.738975063 1341156.4883888415)
PIVS,3000019719,2001.55703,2001,7,23,7,34,50,125.52,11.49,26.0,5.0,POINT (13972822.4843717 1287721.200206286)
ISCBUL,3344542,2001.854279,2001,11,8,19,28,48,124.89,11.54,0.0,4.1,POINT (13902691.205171935 1293401.5054129816)
PIVS,3000020008,2002.088885,2002,2,2,10,37,47,125.69,11.58,8.0,4.5,POINT (13991746.797806554 1297946.4781431684)
ISCBUL,4283358,2002.262058,2002,4,6,15,37,52,125.33,11.58,49.0,4.9,POINT (13951671.781120975 1297946.4781431684)
ISCBUL,301681700,2003.388329,2003,5,22,17,45,37,125.45,11.24,61.92,5.7,POINT (13965030.12001617 1259334.6934642775)
PIVS,3000021344,2003.88142,2003,11,18,17,14,22,125.58,12.19,38.0,6.6,POINT (13979501.653819295 1367339.2949191858)
ISCBUL,5539671,2004.229397,2004,3,25,4,31,47,125.17,11.71,27.0,4.4,POINT (13933860.662594052 1312722.1424994597)
PIVS,3000021828,2004.463518,2004,6,19,2,39,50,125.36,11.34,68.0,4.7,POINT (13955011.365844777 1270686.311006206)
ISCBUL,301670431,2004.890722,2004,11,22,21,28,32,125.65,11.41,54.96,4.9,POINT (13987294.018174823 1278634.8055764982)
ISCBUL,6889741,2005.26111,2005,4,6,7,19,19,124.98,11.32,0.0,4.2,POINT (13912709.959343333 1268415.6707754876)
ISCBUL,7417017,2005.339226,2005,5,4,19,37,15,125.52,11.62,22.0,4.8,POINT (13972822.4843717 1302492.101086989)
ISCBUL,7420073,2005.828469,2005,10,30,9,23,27,125.36,11.64,11.0,4.5,POINT (13955011.365844777 1304765.15713963)
PIVS,3000023127,2005.889534,2005,11,21,16,19,3,125.33,11.18,94.0,5.3,POINT (13951671.781120975 1252525.6149128242)
ISCBUL,8179667,2006.108403,2006,2,9,13,36,52,125.41,11.6,7.0,4.3,POINT (13960577.340384439 1300219.208188277)
