Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
ISCBUL,7419407,2005.717085,2005,9,19,17,39,45,124.38,10.92,32.0,4.4,POINT (13845918.264867367 1223035.7879585926)
ISCBUL,7420947,2005.950192,2005,12,13,19,41,6,123.86,11.28,1.0,4.4,POINT (13788032.129654866 1263874.8659949654)
ISCBUL,8179566,2006.093132,2006,2,3,23,50,0,124.33,10.98,25.0,4.6,POINT (13840352.290327704 1229838.818318008)
ISCBUL,9675206,2007.429255,2007,6,6,16,16,9,123.66,11.3,0.0,4.1,POINT (13765768.23149621 1266145.1892046686)
ISCBUL,10366583,2007.636696,2007,8,21,9,27,10,124.08,11.03,5.0,4.9,POINT (13812522.417629384 1235509.0659041181)
ISCBUL,10368240,2007.931825,2007,12,7,2,47,6,123.74,11.32,43.0,5.0,POINT (13774673.79075967 1268415.6707754876)
ISCBUL,301941340,2009.565394,2009,7,26,8,51,17,124.07,11.1,10.0,4.9,POINT (13811409.22272145 1243449.0341084236)
PIVS,3000027562,2009.849353,2009,11,7,0,19,56,123.88,10.72,12.0,4.8,POINT (13790258.51947073 1200368.9008205587)
ISCBUL,16733879,2010.010708,2010,1,4,21,47,54,124.19,11.02,0.0,4.1,POINT (13824767.561616646 1234374.9393668887)
ISCBUL,16908625,2010.798877,2010,10,19,14,9,31,123.92,11.19,0.0,4.0,POINT (13794711.299102461 1253660.3632640482)
ISCBUL,17244583,2010.942923,2010,12,11,4,0,14,123.83,10.78,1.0,4.3,POINT (13784692.544931067 1207167.3812224693)
ISCBUL,604895708,2012.033123,2012,1,13,3,45,1,123.69,11.17,8.0,4.8,POINT (13769107.816220006 1251390.9057042312)
ISCBUL,605417358,2012.466377,2012,6,20,3,51,0,124.04,11.06,6.0,4.9,POINT (13808069.637997655 1238911.6771705302)
ISCBUL,607731844,2013.431581,2013,6,7,12,39,13,124.32,11.45,6.0,4.8,POINT (13839239.09541977 1283177.681682396)
