Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
ISCBUL,300890710,1978.872848,1978,11,15,14,8,42,122.71,13.12,16.0,5.2,POINT (13660014.7152426 1473445.3155843301)
PIVS,3000003723,1979.550556,1979,7,20,22,52,21,123.7,12.9,199.0,5.7,POINT (13770221.011127941 1448309.8021502944)
PIVS,3000003736,1979.563049,1979,7,25,12,18,28,122.5,13.19,100.0,3.8,POINT (13636637.622176014 1481447.6789043373)
PIVS,3000004036,1980.011825,1980,1,5,8,9,15,122.7,12.61,33.0,3.7,POINT (13658901.520334667 1415210.317749478)
PIVS,3000004372,1980.349226,1980,5,8,3,59,8,123.45,12.52,33.0,3.1,POINT (13742391.138429623 1404945.7237353828)
PIVS,3000004722,1980.656243,1980,8,28,20,11,24,123.73,12.48,50.0,3.0,POINT (13773560.59585174 1400384.832675118)
PIVS,3000004901,1980.951539,1980,12,15,5,9,22,124.02,12.03,68.0,3.0,POINT (13805843.248181788 1349122.791602568)
PIVS,3000005279,1981.518032,1981,7,9,1,57,29,122.57,12.73,50.0,3.1,POINT (13644429.986531539 1428902.0598046044)
PIVS,3000005370,1981.676405,1981,9,4,21,18,18,123.23,12.58,33.0,3.0,POINT (13717900.850455102 1411788.3869385477)
PIVS,3000005412,1981.716158,1981,9,19,9,32,25,124.08,12.51,33.0,3.2,POINT (13812522.417629384 1403805.43477325)
PIVS,3000005825,1982.189991,1982,3,11,8,19,30,123.62,12.2,33.0,3.6,POINT (13761315.451864477 1368478.189751179)
PIVS,3000006149,1982.55568,1982,7,22,19,45,34,123.8,12.75,39.0,3.2,POINT (13781352.960207269 1431184.6449981234)
PIVS,3000006150,1982.555801,1982,7,22,20,48,50,123.46,12.61,37.0,3.5,POINT (13743504.333337555 1415210.317749478)
ISCBUL,301078608,1982.773199,1982,10,10,5,13,32,123.94,12.1,13.0,5.3,POINT (13796937.688918326 1357091.1691579984)
PIVS,3000006356,1982.791626,1982,10,16,22,38,42,122.42,13.73,270.0,3.2,POINT (13627732.06291255 1543258.2232018444)
ISCGEM,2000000939,1983.207555,1983,3,17,18,10,48,122.83,12.97,25.0,5.9,POINT (13673373.054137792 1456305.0493446474)
ISCGEM,2000000926,1983.286571,1983,4,15,14,21,49,121.97,13.17,22.0,5.5,POINT (13577638.292055577 1479161.056123242)
